session_id,variant,dataset,round,client_id,train_loss,num_examples,training_time_s,active_classes,cpu_percent,ram_used_mb,cpu_temp_c
baseline_20260624_215747,baseline,UCIHAR,3,9,0.03130288902097023,834,46.64,6,90.4,972.3,67.2
baseline_20260624_215747,baseline,UCIHAR,4,0,0.04340298478736689,1254,175.38,6,93.9,1002.4,57.0
baseline_20260624_215747,baseline,UCIHAR,4,1,0.03240295078139752,684,35.98,6,89.2,1015.4,67.7
baseline_20260624_215747,baseline,UCIHAR,4,2,0.027246537175960837,666,35.36,6,90.2,1027.5,69.6
baseline_20260624_215747,baseline,UCIHAR,4,3,0.037047984628853475,738,40.13,6,90.5,986.2,66.7
baseline_20260624_215747,baseline,UCIHAR,4,4,0.038201242818364074,936,49.84,6,90.9,1015.6,73.0
baseline_20260624_215747,baseline,UCIHAR,4,5,0.03882757274550386,1038,58.49,6,92.0,994.1,71.6
baseline_20260624_215747,baseline,UCIHAR,4,6,0.028808990457596686,864,47.65,6,91.2,997.0,67.2
baseline_20260624_215747,baseline,UCIHAR,4,7,0.04137145151169254,894,47.5,6,91.4,994.2,70.6
baseline_20260624_215747,baseline,UCIHAR,4,8,0.05199515387149794,954,51.4,6,91.6,984.7,69.1
baseline_20260624_215747,baseline,UCIHAR,4,9,0.023001927927208062,834,45.8,6,90.9,968.5,67.2
baseline_20260624_215747,baseline,UCIHAR,5,0,0.03554730953060483,1254,176.72,6,93.5,1000.1,57.5
baseline_20260624_215747,baseline,UCIHAR,5,1,0.031405690824612975,684,35.47,6,90.1,1021.6,68.2
baseline_20260624_215747,baseline,UCIHAR,5,2,0.05198271479457617,666,35.46,6,90.2,1026.6,69.1
baseline_20260624_215747,baseline,UCIHAR,5,3,0.037520104976878924,738,40.13,6,90.6,990.4,67.7
baseline_20260624_215747,baseline,UCIHAR,5,4,0.03181573549019439,936,49.66,6,91.7,1019.2,74.0
baseline_20260624_215747,baseline,UCIHAR,5,5,0.03825771556876134,1038,58.46,6,92.0,991.3,72.5
baseline_20260624_215747,baseline,UCIHAR,5,6,0.04026408531129933,864,47.73,6,91.2,1000.2,68.2
baseline_20260624_215747,baseline,UCIHAR,5,7,0.033133296779571816,894,47.53,6,91.2,989.4,69.1
baseline_20260624_215747,baseline,UCIHAR,5,8,0.037400617862918546,954,51.59,6,91.3,988.7,70.1
